ID,heading,sortid,parentid,path,heading,sortid,parentid,path
46,Institut vostokovedeniia,50394.5,50358.5,sub,Institut vostokovedeniia,50394.5,50358.5,sub
47,(Without subdivision),50395.5,50394.5,sub,(Without subdivision),50395.5,50394.5,sub
48,(As author),50396.5,50395.5,sub,(As author),50396.5,50395.5,sub
49,(By title),50397.5,50396.5,sub,(By title),50397.5,50396.5,sub
50,A-N,50398.5,50397.5,8/0096/A3136,A-N,50398.5,50397.5,8/0096/A3136
51,O-Z,50399.5,50397.5,8/0096/A3097,O-Z,50399.5,50397.5,8/0096/A3097
52,(As subject),50400.5,50395.5,8/0096/A3093,(As subject),50400.5,50395.5,8/0096/A3093
53,(By topic or sub-agency),50401.5,50394.5,8/0096/A3092,(By topic or sub-agency),50401.5,50394.5,8/0096/A3092
54,Institut vseobschchei ... >,50402.5,50358.5,8/0096/A3137,Institut vseobschchei ... >,50402.5,50358.5,8/0096/A3137
55,Kafedra filosofii >,50403.5,50358.5,8/0097/A3098,Kafedra filosofii >,50403.5,50358.5,8/0097/A3098
56,Matematicheskii institut >,50404.5,50358.5,8/0097/A3099,Matematicheskii institut >,50404.5,50358.5,8/0097/A3099
57,Nauchnyi sovet "Istoriia istoricheskoi nauki " ... 8/0097/A3100,50405.5,50358.5,8/0097/A3100,Nauchnyi sovet "Istoriia istoricheskoi nauki " ... 8/0097/A3100,50405.5,50358.5,8/0097/A3100
58,Nauchnyi sovet po pol uprovodnikam >,50406.5,50358.5,8/0097/A3101,Nauchnyi sovet po pol uprovodnikam >,50406.5,50358.5,8/0097/A3101
59,Otdelenie biologicheskikh nauk >,50407.5,50358.5,8/0097/A3102,Otdelenie biologicheskikh nauk >,50407.5,50358.5,8/0097/A3102
60,Pacific committee,50408.5,50358.5,8/0097/A3103,Pacific committee,50408.5,50358.5,8/0097/A3103
61,Sibirskoe otdelenie,50409.5,50358.5,sub,Sibirskoe otdelenie,50409.5,50358.5,sub
62,(Without subdivision),50410.5,50409.5,8/0097/A3105,(Without subdivision),50410.5,50409.5,8/0097/A3105
63,(By topic or sub-agency),50411.5,50409.5,sub,(By topic or sub-agency),50411.5,50409.5,sub
64,Biological Institute >,50412.5,50411.5,8/0097/A3142,Biological Institute >,50412.5,50411.5,8/0097/A3142
65,Institut geologii i geofiziki,50413.5,50411.5,sub,Institut geologii i geofiziki,50413.5,50411.5,sub
66,(Without subdivision),50414.5,50413.5,sub,(Without subdivision),50414.5,50413.5,sub
67,(By title),50415.5,50414.5,sub,(By title),50415.5,50414.5,sub
68,A-Tek,50416.5,50415.5,8/0098/A3145,A-Tek,50416.5,50415.5,8/0098/A3145
69,Trudy,50417.5,50415.5,sub,Trudy,50417.5,50415.5,sub
70,vyp 99-299,50418.5,50417.5,8/0098/A3147,vyp 99-299,50418.5,50417.5,8/0098/A3147
71,vyp 300-463,50419.5,50417.5,8/0098/A3109,vyp 300-463,50419.5,50417.5,8/0098/A3109
72,U-Z,50420.5,50415.5,8/0098/A3108,U-Z,50420.5,50415.5,8/0098/A3108
73,Institut gornogo dela >,50421.5,50411.5,8/0098/A3107,Institut gornogo dela >,50421.5,50411.5,8/0098/A3107
74,Soil Institute >,50422.5,50358.5,8/0098/A3110,Soil Institute >,50422.5,50358.5,8/0098/A3110
75,Ufimskii institut istorii ...>,50423.5,50358.5,8/0098/A3148,Ufimskii institut istorii ...>,50423.5,50358.5,8/0098/A3148
76,(Without subdivision),50424.5,542.5,sub,(Without subdivision),50424.5,542.5,sub
77,(As author),50425.5,50424.5,8/0098/A3149,(As author),50425.5,50424.5,8/0098/A3149
78,(As subject),50426.5,50424.5,8/0098/A3150,(As subject),50426.5,50424.5,8/0098/A3150
79,(By topic or sub-agency),50427.5,542.5,sub,(By topic or sub-agency),50427.5,542.5,sub
80,Arkheografichna komisiia >,50428.5,50427.5,8/0098/A3112,Arkheografichna komisiia >,50428.5,50427.5,8/0098/A3112
81,Instytut arkheologii ... >,50429.5,50427.5,8/0098/A3151,Instytut arkheologii ... >,50429.5,50427.5,8/0098/A3151
82,Instytut geoligichnykh ... >,50430.5,50427.5,8/0098/A3115,Instytut geoligichnykh ... >,50430.5,50427.5,8/0098/A3115
83,Instytut literatury ... >,50431.5,50427.5,8/0099/A3116,Instytut literatury ... >,50431.5,50427.5,8/0099/A3116
84,Instytut movoznavstva ... >,50432.5,50427.5,8/0099/A3117,Instytut movoznavstva ... >,50432.5,50427.5,8/0099/A3117
85,Istorichno-filologichenii ... >,50433.5,50427.5,8/0099/A3118,Istorichno-filologichenii ... >,50433.5,50427.5,8/0099/A3118
86,(Without subdivision),50434.5,544.5,sub,(Without subdivision),50434.5,544.5,sub
87,(As author),50435.5,50434.5,8/0099/A3122,(As author),50435.5,50434.5,8/0099/A3122
88,(As subject),50436.5,50434.5,8/0099/A3123,(As subject),50436.5,50434.5,8/0099/A3123
89,(By topic or sub-agency),50437.5,544.5,sub,(By topic or sub-agency),50437.5,544.5,sub
90,Addzel ... >,50438.5,50437.5,8/0099/A3152,Addzel ... >,50438.5,50437.5,8/0099/A3152
91,Instytut iadzernai >,50439.5,50437.5,8/0099/A3126,Instytut iadzernai >,50439.5,50437.5,8/0099/A3126
92,(Without subdivision),50440.5,561.5,3/0102/A3166,(Without subdivision),50440.5,561.5,3/0102/A3166
93,(By topic or sub-agency),50441.5,561.5,sub,(By topic or sub-agency),50441.5,561.5,sub
94,A-G,50442.5,50441.5,3/0102/A3168,A-G,50442.5,50441.5,3/0102/A3168
95,H-P,50443.5,50441.5,3/0102/A3169,H-P,50443.5,50441.5,3/0102/A3169
96,R-Z,50444.5,50441.5,3/0102/A3170,R-Z,50444.5,50441.5,3/0102/A3170
97,(Without subdivision),50445.5,569.5,3/0103/A3179,(Without subdivision),50445.5,569.5,3/0103/A3179
98,(By topic or sub-agency),50446.5,569.5,sub,(By topic or sub-agency),50446.5,569.5,sub
99,A-Dep,50447.5,50446.5,3/0103/A3181,A-Dep,50447.5,50446.5,3/0103/A3181
100,Des,50448.5,50446.5,3/0103/A3182,Des,50448.5,50446.5,3/0103/A3182
101,Dis-L,50449.5,50446.5,3/0104/A3183,Dis-L,50449.5,50446.5,3/0104/A3183
102,M-Z,50450.5,50446.5,3/0104/A3184,M-Z,50450.5,50446.5,3/0104/A3184
103,Collected and selected works,50451.5,616.5,5/0111/A3232,Collected and selected works,50451.5,616.5,5/0111/A3232
104,Individual works,50452.5,616.5,5/0111/A3233,Individual works,50452.5,616.5,5/0111/A3233
105,(Saints),50453.5,629.5,5/0113/A5159,(Saints),50453.5,629.5,5/0113/A5159
106,(Popes),50454.5,629.5,5/0113/A5160,(Popes),50454.5,629.5,5/0113/A5160
107,(Sovereigns),50455.5,629.5,sub,(Sovereigns),50455.5,629.5,sub
108,Alexander the Great,50456.5,50455.5,5/0113/A3247,Alexander the Great,50456.5,50455.5,5/0113/A3247
109,Alexander the Great (Subject),50457.5,50455.5,sub,Alexander the Great (Subject),50457.5,50455.5,sub
110,(By author),50458.5,50457.5,5/0113/A2830,(By author),50458.5,50457.5,5/0113/A2830
111,(By topic),50459.5,50457.5,5/0113/A2827,(By topic),50459.5,50457.5,5/0113/A2827
112,(Phrase subject headings),50460.5,50457.5,5/0113/A2828,(Phrase subject headings),50460.5,50457.5,5/0113/A2828
113,"Alexander the Great (Romances, etc.)",50461.5,50455.5,5/0113/A5162,"Alexander the Great (Romances, etc.)",50461.5,50455.5,5/0113/A5162
114,(Other sovereigns),50462.5,50455.5,5/0113/A2829,(Other sovereigns),50462.5,50455.5,5/0113/A2829
115,(Nobility),50463.5,629.5,5/0113/A5164,(Nobility),50463.5,629.5,5/0113/A5164
116,(Others),50464.5,629.5,5/0113/A5165,(Others),50464.5,629.5,5/0113/A5165
117,(By author),50465.5,652.5,sub,(By author),50465.5,652.5,sub
118,A-M,50466.5,50465.5,9/0116/A2742,A-M,50466.5,50465.5,9/0116/A2742
119,N-Z,50467.5,50465.5,9/0116/A2723,N-Z,50467.5,50465.5,9/0116/A2723
120,(By topic),50468.5,652.5,9/0116/A2724,(By topic),50468.5,652.5,9/0116/A2724
121,(By author),50469.5,662.5,9/0117/A2734,(By author),50469.5,662.5,9/0117/A2734
122,(By topic or sub-agency),50470.5,662.5,sub,(By topic or sub-agency),50470.5,662.5,sub
123,"Addresses, essays, lectures >",50471.5,50470.5,9/0117/D2284,"Addresses, essays, lectures >",50471.5,50470.5,9/0117/D2284
124,Description and travel >,50472.5,50470.5,9/0118/A2730,Description and travel >,50472.5,50470.5,9/0118/A2730
125,Economic conditions >,50473.5,50470.5,9/0118/A2735,Economic conditions >,50473.5,50470.5,9/0118/A2735
126,History,50474.5,50470.5,sub,History,50474.5,50470.5,sub
127,(By author),50475.5,50474.5,9/0118/A1521,(By author),50475.5,50474.5,9/0118/A1521
128,(By topic),50476.5,50474.5,9/0118/A2745,(By topic),50476.5,50474.5,9/0118/A2745
129,(By date),50477.5,50474.5,sub,(By date),50477.5,50474.5,sub
130,To 647 >,50478.5,50477.5,9/0118/A2811,To 647 >,50478.5,50477.5,9/0118/A2811
131,1945-1962 >,50479.5,50477.5,9/0118/A2738,1945-1962 >,50479.5,50477.5,9/0118/A2738
132,"History, Military >",50480.5,50470.5,9/0118/A2747,"History, Military >",50480.5,50470.5,9/0118/A2747
133,Politics and government >,50481.5,50470.5,9/0118/A2737,Politics and government >,50481.5,50470.5,9/0118/A2737
134,Social conditions >,50482.5,50470.5,9/0118/A2746,Social conditions >,50482.5,50470.5,9/0118/A2746
135,(Without subdivision),50483.5,801.5,5/0139/A3274,(Without subdivision),50483.5,801.5,5/0139/A3274
136,(By topic or sub-agency),50484.5,801.5,sub,(By topic or sub-agency),50484.5,801.5,sub
137,"Addresses, essays, lectures >",50485.5,50482.5,5/0139/A2896,"Addresses, essays, lectures >",50485.5,50482.5,5/0139/A2896
138,Bibliography >,50486.5,50482.5,5/0139/A2897,Bibliography >,50486.5,50482.5,5/0139/A2897
139,Census >,50487.5,50482.5,5/0140/A2899,Census >,50487.5,50482.5,5/0140/A2899
140,Discovery and exploration,50488.5,50482.5,sub,Discovery and exploration,50488.5,50482.5,sub
141,(By author),50489.5,50488.5,sub,(By author),50489.5,50488.5,sub
142,A-I,50490.5,50489.5,5/0140/A3353,A-I,50490.5,50489.5,5/0140/A3353
143,J-Z,50491.5,50489.5,5/0140/A3354,J-Z,50491.5,50489.5,5/0140/A3354
144,(By topic),50492.5,50488.5,5/0140/A3350,(By topic),50492.5,50488.5,5/0140/A3350
145,(By place),50493.5,50488.5,sub,(By place),50493.5,50488.5,sub
146,A-M,50494.5,50493.5,5/0140/A3404,A-M,50494.5,50493.5,5/0140/A3404
147,N-R,50495.5,50493.5,5/0140/A3355,N-R,50495.5,50493.5,5/0140/A3355
148,S-Z,50496.5,50493.5,5/0140/A3356,S-Z,50496.5,50493.5,5/0140/A3356
149,Early accounts >,50497.5,50482.5,5/0140/A3357,Early accounts >,50497.5,50482.5,5/0140/A3357
150,History >,50498.5,50482.5,5/0140/A3358,History >,50498.5,50482.5,5/0140/A3358
151,Maps >,50499.5,50482.5,5/0141/A3359,Maps >,50499.5,50482.5,5/0141/A3359
152,(Without subdivision),50500.5,809.5,sub,(Without subdivision),50500.5,809.5,sub
153,(As author),50501.5,50500.5,sub,(As author),50501.5,50500.5,sub
154,(By title),50502.5,50501.5,sub,(By title),50502.5,50501.5,sub
155,America >,50503.5,50502.5,5/0141/A3408,America >,50503.5,50502.5,5/0141/A3408
156,Banking >,50504.5,50502.5,5/0142/A3365,Banking >,50504.5,50502.5,5/0142/A3365
157,(Without subdivision),50505.5,817.5,sub,(Without subdivision),50505.5,817.5,sub
158,(As author),50506.5,50505.5,sub,(As author),50506.5,50505.5,sub
159,(By title),50507.5,50506.5,sub,(By title),50507.5,50506.5,sub
160,A-K,50508.5,50507.5,6/0143/A3409,A-K,50508.5,50507.5,6/0143/A3409
161,L-Z,50509.5,50507.5,6/0143/A3382,L-Z,50509.5,50507.5,6/0143/A3382
162,(As subject),50510.5,50505.5,6/0143/A3383,(As subject),50510.5,50505.5,6/0143/A3383
163,(By sub-agency),50511.5,50505.5,6/0143/A3384,(By sub-agency),50511.5,50505.5,6/0143/A3384
164,(Without subdivision),50512.5,825.5,sub,(Without subdivision),50512.5,825.5,sub
165,(As author),50513.5,50512.5,sub,(As author),50513.5,50512.5,sub
166,(By title),50514.5,50513.5,6/0144/A3397,(By title),50514.5,50513.5,6/0144/A3397
167,(As subject),50515.5,50512.5,6/0144/A3393,(As subject),50515.5,50512.5,6/0144/A3393
168,(By topic or sub-agency),50516.5,825.5,6/0144/A3394,(By topic or sub-agency),50516.5,825.5,6/0144/A3394
169,(Without subdivision),50517.5,829.5,sub,(Without subdivision),50517.5,829.5,sub
170,(As author),50518.5,50517.5,sub,(As author),50518.5,50517.5,sub
171,(By title),50519.5,50518.5,sub,(By title),50519.5,50518.5,sub
172,A-B,50520.5,50519.5,6/0145/A3268,A-B,50520.5,50519.5,6/0145/A3268
173,C-Z,50521.5,50519.5,6/0145/A3410,C-Z,50521.5,50519.5,6/0145/A3410
174,(As subject),50522.5,50517.5,6/0145/A3411,(As subject),50522.5,50517.5,6/0145/A3411
175,(By topic or sub-agency),50523.5,829.5,sub,(By topic or sub-agency),50523.5,829.5,sub
176,Agricultural ... >,50524.5,50523.5,6/0145/A3413,Agricultural ... >,50524.5,50523.5,6/0145/A3413
177,Division of Agricultural ... >,50525.5,50523.5,6/0145/A3269,Division of Agricultural ... >,50525.5,50523.5,6/0145/A3269
178,Division of Colloid ... >,50526.5,50523.5,6/0145/A3415,Division of Colloid ... >,50526.5,50523.5,6/0145/A3415
179,Division of Inorganic ... >,50527.5,50523.5,6/0146/A3416,Division of Inorganic ... >,50527.5,50523.5,6/0146/A3416
180,(Without subdivision),50528.5,835.5,6/0147/A3423,(Without subdivision),50528.5,835.5,6/0147/A3423
181,(By topic or sub-agency),50529.5,835.5,6/0147/A3426,(By topic or sub-agency),50529.5,835.5,6/0147/A3426
182,(By author),50530.5,839.5,6/0147/A3430,(By author),50530.5,839.5,6/0147/A3430
183,(By topic),50531.5,839.5,6/0147/A3431,(By topic),50531.5,839.5,6/0147/A3431
184,(By date),50532.5,839.5,6/0147/A3432,(By date),50532.5,839.5,6/0147/A3432
185,(By place),50533.5,839.5,6/0148/A3434,(By place),50533.5,839.5,6/0148/A3434
186,(Without subdivision),50534.5,842.5,sub,(Without subdivision),50534.5,842.5,sub
187,(As author),50535.5,50534.5,sub,(As author),50535.5,50534.5,sub
188,(By title),50536.5,50535.5,sub,(By title),50536.5,50535.5,sub
189,A-F,50537.5,50536.5,6/0148/A3273,A-F,50537.5,50536.5,6/0148/A3273
190,G-O,50538.5,50536.5,6/0148/A3437,G-O,50538.5,50536.5,6/0148/A3437
191,P-Z,50539.5,50536.5,6/0148/A3442,P-Z,50539.5,50536.5,6/0148/A3442
192,(As subject),50540.5,50534.5,6/0148/A3438,(As subject),50540.5,50534.5,6/0148/A3438
193,(By topic or sub-agency),50541.5,842.5,6/0148/A3439,(By topic or sub-agency),50541.5,842.5,6/0148/A3439
194,(By author),50542.5,846.5,6/0149/A3446,(By author),50542.5,846.5,6/0149/A3446
195,(By topic),50543.5,846.5,sub,(By topic),50543.5,846.5,sub
196,A-G,50544.5,50543.5,6/0149/A3275,A-G,50544.5,50543.5,6/0149/A3275
197,H-Z,50545.5,50543.5,6/0149/A3448,H-Z,50545.5,50543.5,6/0149/A3448
198,(By date),50546.5,846.5,sub,(By date),50546.5,846.5,sub
199,18th century >,50547.5,50546.5,6/0149/A3276,18th century >,50547.5,50546.5,6/0149/A3276
200,20th century,50548.5,50546.5,sub,20th century,50548.5,50546.5,sub
201,(By author),50549.5,50548.5,6/0149/A3277,(By author),50549.5,50548.5,6/0149/A3277
202,(By topic),50550.5,50548.5,sub,(By topic),50550.5,50548.5,sub
203,A-G,50551.5,50550.5,6/0149/A3278,A-G,50551.5,50550.5,6/0149/A3278
204,H-Z,50552.5,50550.5,6/0149/A3253,H-Z,50552.5,50550.5,6/0149/A3253
205,(By place),50553.5,846.5,6/0150/A3250,(By place),50553.5,846.5,6/0150/A3250
206,(Without subdivision),50554.5,861.5,sub,(Without subdivision),50554.5,861.5,sub
207,(As author),50555.5,50554.5,sub,(As author),50555.5,50554.5,sub
208,(By title),50556.5,50555.5,9/0152/A3282,(By title),50556.5,50555.5,9/0152/A3282
209,(As subject),50557.5,50554.5,9/0152/A3283,(As subject),50557.5,50554.5,9/0152/A3283
210,(By topic or sub-agency),50558.5,861.5,9/0152/A3284,(By topic or sub-agency),50558.5,861.5,9/0152/A3284
211,(Without subdivision),50559.5,870.5,sub,(Without subdivision),50559.5,870.5,sub
212,(As author),50560.5,50559.5,sub,(As author),50560.5,50559.5,sub
213,(By title),50561.5,50560.5,6/0153/A3296,(By title),50561.5,50560.5,6/0153/A3296
214,(As subject),50562.5,50559.5,6/0153/A3297,(As subject),50562.5,50559.5,6/0153/A3297
215,(By topic or sub-agency),50563.5,870.5,sub,(By topic or sub-agency),50563.5,870.5,sub
216,A-C,50564.5,50563.5,6/0153/A3471,A-C,50564.5,50563.5,6/0153/A3471
217,D-Z,50565.5,50563.5,9/0154/A3300,D-Z,50565.5,50563.5,9/0154/A3300
218,(By author),50566.5,872.5,9/0154/A3472,(By author),50566.5,872.5,9/0154/A3472
219,(By topic),50567.5,872.5,sub,(By topic),50567.5,872.5,sub
220,"Addresses, essays, lectures",50568.5,50567.5,9/0154/D2283,"Addresses, essays, lectures",50568.5,50567.5,9/0154/D2283
221,Afro-American authors >,50569.5,50567.5,9/0154/A3303,Afro-American authors >,50569.5,50567.5,9/0154/A3303
222,Bibliography,50570.5,50567.5,9/0154/A3304,Bibliography,50570.5,50567.5,9/0154/A3304
223,Bio-bibliography >,50571.5,50567.5,9/0154/A3305,Bio-bibliography >,50571.5,50567.5,9/0154/A3305
224,History and criticism,50572.5,50567.5,sub,History and criticism,50572.5,50567.5,sub
225,(By author),50573.5,50572.5,sub,(By author),50573.5,50572.5,sub
226,A-K,50574.5,50573.5,9/0154/A3473,A-K,50574.5,50573.5,9/0154/A3473
227,L-Z,50575.5,50573.5,9/0155/A3309,L-Z,50575.5,50573.5,9/0155/A3309
228,(By topic),50576.5,50572.5,9/0155/A3307,(By topic),50576.5,50572.5,9/0155/A3307
229,Indian authors >,50577.5,50567.5,9/0155/A3310,Indian authors >,50577.5,50567.5,9/0155/A3310
230,(By date),50578.5,872.5,sub,(By date),50578.5,872.5,sub
231,"Colonial Period, 1600-1775 >",50579.5,50578.5,9/0155/D2282,"Colonial Period, 1600-1775 >",50579.5,50578.5,9/0155/D2282
232,19th century,50580.5,50578.5,9/0155/A3312,19th century,50580.5,50578.5,9/0155/A3312
233,20th century,50581.5,50578.5,sub,20th century,50581.5,50578.5,sub
234,(By author),50582.5,50581.5,9/0155/A3474,(By author),50582.5,50581.5,9/0155/A3474
235,(By topic),50583.5,50581.5,sub,(By topic),50583.5,50581.5,sub
236,"Addresses, essays, lectures >",50584.5,50583.5,9/0155/G2702,"Addresses, essays, lectures >",50584.5,50583.5,9/0155/G2702
237,History and criticism,50585.5,50583.5,sub,History and criticism,50585.5,50583.5,sub
238,(By author),50586.5,50585.5,9/0155/A3475,(By author),50586.5,50585.5,9/0155/A3475
239,(By topic),50587.5,50585.5,9/0156/A3318,(By topic),50587.5,50585.5,9/0156/A3318
240,Periodicals,50588.5,50583.5,9/0156/A3619,Periodicals,50588.5,50583.5,9/0156/A3619
241,(By place),50589.5,872.5,sub,(By place),50589.5,872.5,sub
242,A-L,50590.5,50589.5,9/0156/A3319,A-L,50590.5,50589.5,9/0156/A3319
243,M-R,50591.5,50589.5,9/0156/A3322,M-R,50591.5,50589.5,9/0156/A3322
244,S-Z,50592.5,50589.5,9/0156/A3320,S-Z,50592.5,50589.5,9/0156/A3320
245,(Without subdivision),50593.5,876.5,sub,(Without subdivision),50593.5,876.5,sub
246,(As author),50594.5,50593.5,sub,(As author),50594.5,50593.5,sub
247,(By title),50595.5,50594.5,sub,(By title),50595.5,50594.5,sub
248,A-Mat,50596.5,50595.5,9/0156/A3316,A-Mat,50596.5,50595.5,9/0156/A3316
249,Mem,50597.5,50595.5,4/0157/A3331,Mem,50597.5,50595.5,4/0157/A3331
250,Mod-Theory,50598.5,50595.5,4/0157/A3332,Mod-Theory,50598.5,50595.5,4/0157/A3332
251,Translations,50599.5,50595.5,sub,Translations,50599.5,50595.5,sub
252,(Series),50600.5,50599.5,sub,(Series),50600.5,50599.5,sub
253,(By volume),50601.5,50600.5,sub,(By volume),50601.5,50600.5,sub
254,1-49,50602.5,50601.5,4/0157/A3478,1-49,50602.5,50601.5,4/0157/A3478
255,50-115,50603.5,50601.5,4/0157/A3335,50-115,50603.5,50601.5,4/0157/A3335
256,Transport,50604.5,50595.5,4/0157/A3334,Transport,50604.5,50595.5,4/0157/A3334
257,(By topic or sub-agency),50605.5,50593.5,4/0157/A3326,(By topic or sub-agency),50605.5,50593.5,4/0157/A3326
258,(Without subdivision),50606.5,879.5,sub,(Without subdivision),50606.5,879.5,sub
259,(As author),50607.5,50606.5,sub,(As author),50607.5,50606.5,sub
260,(By title),50608.5,50607.5,4/0157/A3481,(By title),50608.5,50607.5,4/0157/A3481
261,(As subject),50609.5,50606.5,4/0158/A3339,(As subject),50609.5,50606.5,4/0158/A3339
262,(As topic or sub-agency),50610.5,879.5,4/0158/A3340,(As topic or sub-agency),50610.5,879.5,4/0158/A3340
263,(Without subdivision),50611.5,888.5,sub,(Without subdivision),50611.5,888.5,sub
264,(As author),50612.5,50611.5,sub,(As author),50612.5,50611.5,sub
265,(By title),50613.5,50612.5,sub,(By title),50613.5,50612.5,sub
266,A-M,50614.5,50613.5,4/0159/A3484,A-M,50614.5,50613.5,4/0159/A3484
267,O-Z,50615.5,50613.5,4/0159/A3452,O-Z,50615.5,50613.5,4/0159/A3452
268,(As subject),50616.5,50611.5,4/0159/A3450,(As subject),50616.5,50611.5,4/0159/A3450
269,(By topic or sub-agency),50617.5,888.5,4/0159/A3451,(By topic or sub-agency),50617.5,888.5,4/0159/A3451
270,(By author),50618.5,890.5,sub,(By author),50618.5,890.5,sub
271,A-L,50619.5,50618.5,4/0159/A3485,A-L,50619.5,50618.5,4/0159/A3485
272,M-Z,50620.5,50618.5,4/0159/A3457,M-Z,50620.5,50618.5,4/0159/A3457
273,(By topic),50621.5,890.5,sub,(By topic),50621.5,890.5,sub
274,A-G,50622.5,50621.5,4/0160/A3486,A-G,50622.5,50621.5,4/0160/A3486
275,H-Z,50623.5,50621.5,4/0160/A3458,H-Z,50623.5,50621.5,4/0160/A3458
276,(By date),50624.5,890.5,sub,(By date),50624.5,890.5,sub
